Store_ID,Store_Name,Market,Head_Coach,OLO_QTY,Line_Config,CHIT_Config,Rev_Band,Latitude,Longitude,Location
71,Rosslyn,DMV,Manuel Martinez,6,37,37,15,38.89670573,-77.07105815,"38.8967057304306, -77.0710581456279"
20,Back Bay,BOS,Bryan Masse,3,38,38,37,42.35004965,-71.07869363,"42.3500496534215, -71.0786936285454"
26,Chestnut Hill,BOS,Luis Ramos,2,39,39,8,42.31899494,-71.17578589,"42.31899493622, -71.1757858859593"
84,Post Office Square,BOS,Damian Scardamaglia,4,40,40,40,42.35619507,-71.05399756,"42.3561950736054, -71.0539975589724"
39,Prudential Center,BOS,"Enma ""CeCi"" Arauz",4,41,41,28,42.34758148,-71.08196403,"42.3475814846365, -71.081964030137"
94,Wellesley,BOS,Ana Marcelin,1,42,42,35,42.30033927,-71.29244642,"42.3003392690483, -71.2924464166465"
58,Harvard Square,BOS,David Ortiz,1,43,43,24,42.37292346,-71.12013067,"42.3729234554834, -71.1201306724643"
47,Fenway,BOS,Kamal Hammane,2,44,44,29,42.34530422,-71.10032597,"42.3453042212238, -71.1003259724655"
61,Ink Block,BOS,Junisha Shrestha,3,45,45,24,42.34507626,-71.06334006,"42.3450762624996, -71.0633400571223"
30,Santa Monica,LA,Juanita Dorado,3,46,46,28,34.01705168,-118.4955112,"34.017051682599, -118.495511171464"
83,Studio City,LA,Coralee Kelly,3,47,47,28,34.1460365,-118.4163785,"34.1460365044479, -118.416378489991"
67,Brentwood,LA,Kevin Tam,2,48,48,30,34.05442486,-118.4651075,"34.0544248589017, -118.465107516979"
74,Montana Ave,LA,Remy Cruz ,5,49,49,40,34.03374938,-118.4937449,"34.0337493755333, -118.493744930472"
79,Sunset Strip,LA,Sarah Watrous,2,50,50,39,34.09263377,-118.3780286,"34.0926337692464, -118.378028616978"
89,Century City,LA,Maira Juarez,3,51,51,17,34.05980821,-118.419455,"34.0598082126916, -118.419454961158"
57,Culver City,LA,Mark Wynsma,4,52,52,18,34.02736404,-118.3875025,"34.0273640403632, -118.387502530473"
98,Pike & Rose,DMV,Martin Zelada,1,53,53,31,39.05071015,-77.11719222,"39.0507101495101, -77.1171922167858"
13,City Vista,DMV,Pablo Menz,5,54,54,41,38.90349841,-77.01860209,"38.9034984121624, -77.0186020879561"
3,Bethesda,DMV,Karen Ruiz ,1,55,55,13,,,", "
19,Silver Spring,DMV,Luis Hurtado,4,56,56,24,38.99537892,-77.02678439,"38.9953789171515, -77.0267843879522"
15,West End,DMV,Alba Jovel,6,57,57,11,38.9053575,-77.04925144,"38.9053575013647, -77.049251443777"
17,14th & W St,DMV,Kathleen Fusco,4,58,58,20,38.91954047,-77.03122422,"38.9195404740302, -77.0312242167912"
106,Penn Quarter,DMV,Michelle Rivas,4,59,59,3,38.89571073,-77.02108183,"38.8957107328876, -77.0210818321353"
24,Tribeca,NYC,Jeffrey Alberto ,4,60,60,41,40.72150007,-74.0097051,"40.7215000737019, -74.0097051032228"
100,Chambers Street,NYC,Phoebe Sims,4,61,61,50,40.71564108,-74.0089208,"40.7156410793639, -74.0089208032231"
803,30 Vandam,NYC,Brian Anderson,5,62,62,3,40.7262749,-74.00503702,"40.7262749012032, -74.0050370185658"
59,61st & Lex,NYC,Dada Osiegbu,2,63,63,24,40.76391048,-73.96745589,"40.7639104841195, -73.9674558878778"
91,32nd & Park,NYC,Angela Heller,4,64,64,30,40.74636849,-73.9823298,"40.7463684877111, -73.9823298032217"
101,Rockefeller Center,NYC,Cristian Gonzalez,5,65,65,27,40.75916635,-73.97938032,"40.7591663463891, -73.9793803185644"
33,8th + Hill,LA,Jeane Trevisan,4,66,66,29,34.04487787,-118.2564452,"34.0448778688485, -118.256445176501"
40,Hollywood,LA,Elizabeth Aleman,4,67,67,14,34.09854679,-118.3226526,"34.0985467936032, -118.322652645813"
80,5th & Grand,LA,Jake Childers,3,68,68,13,34.05103527,-118.2538764,"34.0510352695613, -118.253876389994"
103,Silverlake,LA,Jacqueline Hernandez,4,69,69,39,34.09277683,-118.2800497,"34.0927768331261, -118.280049688142"
119,Koreatown,LA,Brendan Cahill,3,70,70,27,34.06401238,-118.2982275,"34.0640123783932, -118.298227518829"
50,Clarendon,DMV,Abner Reyes (AC),5,71,71,32,38.88650835,-77.0952071,"38.8865083531107, -77.0952071033"
